year,block,treatment,herb,deltaC,deltaN,deltaP,deltaCN,deltaCP,deltaNP,deltalignin,deltanpe,deltahemicell,deltacell,deltaligninN,deltaBSI
2019,B1,CT,PR,0.132,-0.429,0.031358388,5.53052221,-25.2123588,-2.820192751,1.305843713,2.1960531,1.06919219,-4.13645197,1.447302749,-0.015344918
2019,B1,F10,PR,-1.25825,-0.582,0.066804024,4.583273815,-20.0929002,-2.238576955,1.454853704,1.378116665,2.538909905,-5.18804836,1.392948258,0.057701401
2019,B1,F2,PR,0.425,-0.274,0.016117404,3.468184105,-9.94123765,-1.343830972,0.825987816,0.472533255,1.40036327,-2.26938341,0.852502624,0.025519499
2019,B1,F5,PR,0.158,-0.674,0.054965721,5.498257595,-16.33641085,-2.541199788,1.094803078,2.28823708,-1.05657727,-2.220694935,1.192023107,0.015456453
2019,B2,CT,PR,-0.61975,-0.34275,-0.018894197,3.555458165,13.96439765,-0.760727361,0.656738601,1.81546469,-1.529126795,-0.670084085,0.943999895,0.041940174
2019,B2,F10,PR,-0.39975,-0.16725,0.031142974,0.912405345,-9.76147225,-0.843632086,-1.44326053,1.27520305,-2.50347103,2.479055135,-0.403588833,0.004372107
2019,B2,F2,PR,-0.6575,-0.34575,-0.043460553,3.62615273,22.41028335,-0.148624086,0.793040471,1.89867663,0.21667892,-2.60325223,0.981281953,0.034619433
2019,B2,F5,PR,-0.2485,-0.67825,0.072981972,6.38118629,-27.9001282,-3.145280843,0.359032223,2.309640435,-2.262396765,-0.5198754,1.073976294,-0.012293298
2019,B3,CT,PR,-0.9815,0.3405,0.009431077,-3.03005716,-10.0017764,0.779314074,1.927948484,1.314932155,-1.552170875,-1.874888765,0.339937311,-0.00927825
2019,B3,F10,PR,0.17425,0.4695,-0.00806645,-2.55454815,2.7161273,1.485480918,NA,NA,NA,NA,NA,0.02801
2019,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,B3,F5,PR,-0.9575,0.1985,-0.016036423,-0.87939026,8.83984525,0.855369604,0.896516702,6.43351508,-1.22740259,-6.21777533,0.120457354,-0.01252875
2020,B1,CT,PR,0.83,-0.547,-0.053558474,8.07627706,70.0509137,-0.230755101,-0.17696382,2.93193812,-3.71087758,1.31009127,0.809011486,NA
2020,B1,F10,PR,0.04225,-0.54,0.036006023,4.754518635,-9.95093285,-1.827043202,-0.124431943,0.537782545,-0.882153985,0.5117798,0.540539027,0.068665901
2020,B1,F2,PR,0.06,-0.4905,-0.084888445,6.604475795,53.04372515,0.244510654,-2.133296142,5.819201225,-3.61341798,0.3450917,-0.48533201,NA
2020,B1,F5,PR,-0.472,-0.86,0.107281722,7.355937725,-29.52392614,-3.458045103,NA,0.03159919,-1.48496308,2.715368985,NA,NA
2020,B2,CT,PR,-0.65025,-0.41075,-0.051545657,4.474328415,50.15774985,0.340245176,-1.165463957,2.70452333,-5.002902545,3.724486835,0.095631941,0.049552174
2020,B2,F10,PR,-0.83075,-0.17425,0.177472895,0.790964785,-36.42925436,-2.261103493,-2.986738446,1.92315128,-4.985224,5.483648355,-1.018392151,NA
2020,B2,F2,PR,-0.465,-0.41025,-0.081067357,4.63438689,52.93923925,0.750315769,-0.42311078,-0.11646374,-4.70077614,5.10678514,0.444194278,0.088182433
2020,B2,F5,PR,0.308,-0.23775,0.058611069,1.94955332,-22.1910117,-1.834735813,1.041645378,-0.952014125,-2.308508525,2.13996256,0.695181814,0.124031702
2020,B3,CT,PR,-0.7575,-0.519166667,-0.110466319,5.56424904,91.0145649,1.782276088,-1.626966183,6.283885955,-2.804213915,-2.059607395,-0.034384479,0.046257583
2020,B3,F10,PR,0.36375,-0.3225,-0.107868708,2.17299814,52.7475708,1.883149822,NA,-2.242499765,1.778206605,0.100235565,NA,0.023674
2020,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,B3,F5,PR,-1.515,-0.241,-0.056784535,2.30820533,25.60943995,0.455490583,-2.503072684,6.46515199,-0.62210916,-3.61219712,-0.834820076,NA
