year,block,treatment,herb,deltaC,deltaN,deltaP,deltaCN,deltaCP,deltaNP,deltalignin,deltaligninN,deltaBSI
2019,B1,CT,PR,0.132,-0.429,0.031358387,5.53052221,-25.2123588,-2.820192751,1.305843713,1.447302749,-0.015344918
2019,B1,F10,PR,-1.25825,-0.582,0.066804024,4.58327381,-20.09290025,-2.238576955,1.454853703,1.392948258,0.057701401
2019,B1,F2,PR,0.425,-0.274,0.016117403,3.4681841,-9.9412377,-1.343830972,0.825987816,0.852502623,0.025519498
2019,B1,F5,PR,0.158,-0.674,0.05496572,5.49825759,-16.3364109,-2.541199788,1.094803077,1.192023106,0.015456452
2019,B2,CT,PR,-0.61975,-0.34275,-0.018894197,3.55545816,13.9643976,-0.760727362,0.656738601,0.943999894,0.041940173
2019,B2,F10,PR,-0.39975,-0.16725,0.031142973,0.91240534,-9.7614723,-0.843632086,-1.44326053,-0.403588833,0.004372107
2019,B2,F2,PR,-0.6575,-0.34575,-0.043460553,3.62615273,22.4102833,-0.148624086,0.793040471,0.981281953,0.034619432
2019,B2,F5,PR,-0.2485,-0.67825,0.072981972,6.38118629,-27.9001282,-3.145280843,0.359032223,1.073976294,-0.012293298
2019,B3,CT,PR,-0.9815,0.3405,0.009431076,-3.03005716,-10.0017764,0.779314073,1.927948484,0.339937311,-0.00927825
2019,B3,F10,PR,0.17425,0.4695,-0.00806645,-2.55454815,2.7161273,1.485480917,NA,NA,0.02801
2019,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,B3,F5,PR,-0.9575,0.1985,-0.016036423,-0.87939026,8.8398452,0.855369603,0.896516702,0.120457353,-0.01252875
2020,B1,CT,PR,0.698,-0.118,-0.084916861,2.54575485,95.2632725,2.58943765,-1.482807533,-0.638291263,NA
2020,B1,F10,PR,1.3005,0.042,-0.030798002,0.17124482,10.14196735,0.411533753,-1.579285646,-0.852409231,0.0109645
2020,B1,F2,PR,-0.365,-0.2165,-0.101005848,3.13629169,62.9849628,1.588341625,-2.959283958,-1.337834633,NA
2020,B1,F5,PR,-0.63,-0.186,0.052316001,1.85768013,-13.18751529,-0.916845315,NA,NA,NA
2020,B2,CT,PR,-0.0305,-0.068,-0.03265146,0.91887025,36.1933522,1.100972537,-1.822202558,-0.848367954,0.007612
2020,B2,F10,PR,-0.431,-0.007,0.146329921,-0.12144056,-26.66778211,-1.417471407,-1.543477916,-0.614803318,NA
2020,B2,F2,PR,0.1925,-0.0645,-0.037606804,1.00823416,30.5289559,0.898939855,-1.216151251,-0.537087675,0.053563
2020,B2,F5,PR,0.5565,0.4405,-0.014370903,-4.43163297,5.7091165,1.31054503,0.682613155,-0.37879448,0.136325
2020,B3,CT,PR,0.224,-0.859666667,-0.119897395,8.5943062,101.0163413,1.002962014,-3.554914667,-0.37432179,0.055535833
2020,B3,F10,PR,0.1895,-0.792,-0.099802258,4.72754629,50.0314435,0.397668904,NA,NA,-0.004336
2020,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,B3,F5,PR,-0.5575,-0.4395,-0.040748112,3.18759559,16.7695947,-0.399879021,-3.399589386,-0.955277429,NA
2021,B1,CT,PR,-0.843,0.552,0.082000976,-8.31742104,-93.725233,-0.792950928,0.025560422,-0.897154336,NA
2021,B1,F10,PR,-0.6145,0.8055,0.140151282,-6.68923995,-27.92170512,0.243364409,-0.821578034,-1.101893432,-0.030912
2021,B1,F2,PR,0.6365,0.9405,0.122521637,-10.15756454,-71.1073272,0.145838833,1.428845228,-0.26812871,NA
2021,B1,F5,PR,-2.033,0.996,0.035767376,-9.0334432,-10.57971416,1.65328833,NA,NA,NA
2021,B2,CT,PR,-1.035,0.364,0.052723279,-4.80008583,-58.0753947,-0.579424611,-1.890244805,-1.43600361,-0.0291205
2021,B2,F10,PR,-0.2795,0.1415,-0.030465542,-1.09371251,3.73540492,0.485037472,0.118225545,-0.040259538,NA
2021,B2,F2,PR,-0.4605,0.3995,0.032639428,-4.95568072,-28.1497381,0.540887218,-1.638669308,-1.368972828,-0.125885
2021,B2,F5,PR,-1,0.525,0.029545124,-4.0743386,-10.9646445,0.83457905,-3.825706819,-1.92840129,0.0118255
2021,B3,CT,PR,-0.7235,1.540666667,0.123219551,-12.34100763,-104.299325,1.123697523,-0.638559789,-1.57739396,-0.014557333
2021,B3,F10,PR,0.3615,0.885,0.161548373,-4.9632807,-67.5742372,-1.488871324,NA,NA,-0.030675
2021,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,B3,F5,PR,-0.231,0.949,0.126748283,-6.23099441,-46.2458221,0.011527259,-0.573285949,-0.757768627,NA
