year,block,treatment,herb,BSI,N,C,lignin,npe,hemicell,cell,p,CN,CP,NP,ligninN,,,,,,,
2018,B1,CT,PR,0.156808743,1.9125,46.2995,5.320848468,31.8540558,36.81773272,25.55137708,0.21648078,24.20888889,213.8734903,8.834502536,2.78214299,,year,block,treatment,Average of npe,Average of hemicell,Average of cell
2018,B1,CT,PU,0.193108092,2.3045,46.7255,5.905283798,29.93066764,38.16803598,25.44767592,0.231164731,20.27576481,202.1307481,9.969081313,2.562501106,,2018,B1,CT,30.89236172,37.49288435,25.4995265
2018,B1,F10,PR,0.1710646,2.437,46.2535,6.219927351,32.5135325,35.93367243,25.20882389,0.399738768,18.97968814,115.7093174,6.09648149,2.552288613,,,,F10,32.29036006,36.45287212,25.11104013
2018,B1,F10,PU,0.151959598,2.715,46.643,5.703783422,32.06718761,36.9720718,25.01325637,0.383441719,17.17974217,121.6429973,7.080606688,2.100841039,,,,F2,31.69000119,36.72267472,25.19982418
2018,B1,F2,PR,0.177636893,2.1095,46.617,5.971149676,32.45928869,36.16999566,24.88223462,0.26145369,22.09860156,178.2992621,8.06835046,2.830599515,,,,F5,33.07532881,35.98913541,24.78317556
2018,B1,F2,PU,0.11573611,2.1335,46.065,5.642618814,30.92071368,37.27535378,25.51741374,0.357445261,21.59128193,128.8728794,5.968746079,2.644770946,,,B2,CT,32.11261742,37.8990976,22.50381018
2018,B1,F5,PR,0.188181795,2.668,46.789,6.589122407,32.41274181,36.13039632,24.53076094,0.34638513,17.53710645,135.0779694,7.702409165,2.46968606,,,,F10,32.53997205,38.68323757,21.81837678
2018,B1,F5,PU,0.1240463,2.86,46.541,5.072124152,33.73791581,35.8478745,25.03559017,0.401128299,16.27307692,116.0252221,7.129888385,1.773469983,,,,F2,31.0947186,38.72687,23.53094736
2018,B2,CT,PR,0.154304431,2.2545,46.798,6.726062892,30.82227983,38.20531917,24.16002706,0.239443651,20.75759592,195.4447312,9.415576444,2.983394496,,,,F5,30.94909494,38.98135999,23.75695267
2018,B2,CT,PU,0.131039222,2.185,47.8905,7.832423204,33.40295501,37.59287602,20.84759329,0.242002876,21.91784897,197.8922763,9.028818319,3.584633045,,,B3,CT,27.56557658,37.31525872,28.28881956
2018,B2,F10,PR,0.185362446,2.8535,46.226,7.455932854,32.23005546,39.06944098,21.20630831,0.445675128,16.19975469,103.7212918,6.40264583,2.612907957,,,,F10,30.04375216,36.72410433,26.01897596
2018,B2,F10,PU,0.17828034,2.466,46.5535,6.386385871,32.84988864,38.29703416,22.43044524,0.374964343,18.87814274,124.1544719,6.576625341,2.589775292,,,,F2,#DIV/0!,#DIV/0!,#DIV/0!
2018,B2,F2,PR,0.207255052,2.1665,46.842,6.14959202,29.87887395,39.58204655,24.25514912,0.285299623,21.62104777,164.1852853,7.593770988,2.838491586,,,,F5,29.29865694,36.67468983,27.30662793
2018,B2,F2,PU,0.138767083,2.236,47.291,6.891260915,32.31056325,37.87169345,22.8067456,0.325744387,21.14982111,145.1782498,6.86427791,3.081959264,,2019,B1,CT,33.08841482,38.56207654,21.36307453
2018,B2,F5,PR,0.122742999,2.68,46.258,6.275918279,31.11192768,38.9926668,23.5897923,0.362403725,17.26044776,127.6421759,7.395067476,2.341760552,,,,F10,33.66847672,38.99178202,19.92299177
2018,B2,F5,PU,0.123857597,2.4375,46.811,6.340663221,30.78626219,38.97005317,23.92411304,0.295252991,19.20451282,158.5453879,8.255631863,2.601297732,,,,F2,32.16253444,38.12303799,22.93044077
2018,B3,CT,PR,0.11901,2.34,47.293,6.941276794,27.02181769,37.1559622,28.96958591,0.263312286,20.21068376,179.6080263,8.88678624,2.966357604,,,,F5,35.36356589,34.93255814,22.56248062
2018,B3,CT,PU,0.1361415,2.259,47.27,6.943731296,28.10933546,37.47455523,27.6080532,0.324427709,20.92518814,145.7027211,6.963030399,3.073807568,,,B2,CT,33.92808211,36.3699708,21.83372609
2018,B3,F10,PR,0.194726,3.0435,45.907,7.303592578,30.69482827,37.12988551,24.93091196,0.392088851,15.08362083,117.0831557,7.76227121,2.399734706,,,,F10,33.8151751,36.17976654,24.29743191
2018,B3,F10,PU,0.140218,2.4975,46.8825,7.30862723,29.39267604,36.31832314,27.10703995,0.345948161,18.77177177,135.5188589,7.219289713,2.926377269,,,,F2,32.99339523,38.94354892,20.92769513
2018,B3,F2,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,F5,33.25873537,36.71896322,23.23707727
2018,B3,F2,PU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,B3,CT,28.88050873,35.76308784,26.41393079
2018,B3,F5,PR,0.169749,2.3355,NA,6.906187625,29.56087824,35.40918164,28.22355289,0.379609174,18.40483836,113.2335648,6.15238029,2.957048865,,,,F10,#DIV/0!,#DIV/0!,#DIV/0!
2018,B3,F5,PU,0.1140455,2.6055,47.501,6.723267327,29.03643564,37.94019802,26.38970297,0.332601378,18.2310497,142.8166061,7.833701759,2.580413482,,,,F2,#DIV/0!,#DIV/0!,#DIV/0!
2019,B1,CT,PR,0.1596135,1.6795,46.6445,6.918909846,33.08841482,38.56207654,21.36307453,0.255181143,27.77284906,182.7897604,6.581599174,4.119624797,,,,F5,35.73217202,35.44728724,21.0888526
