block,treatment,herb,BSI-2018,N-2018,C-2018,lignin-2018,npe-2018,hemicell-2018,cell-2018,p-2018,CN-2018,CP-2018,NP-2018,ligninN-2018,BSI-2019,N-2019,C-2019,lignin-2019,npe-2019,hemicell-2019,cell-2019,p-2019,CN-2019,CP-2019,NP-2019,ligninN-2019,BSI-2020,N-2020,C-2020,lignin-2020,npe-2020,hemicell-2020,cell-2020,p-2020,CN-2020,CP-2020,NP-2020,ligninN-2020,BSI-2021,N-2021,C-2021,lignin-2021,npe-2021,hemicell-2021,cell-2021,p-2021,CN-2021,CP-2021,NP-2021,ligninN-2021
B1,CT,PR,0.174958418,2.1085,46.5125,5.613066133,30.89236172,37.49288435,25.4995265,0.223822756,22.24232685,208.0021192,9.401791925,2.672322048,0.1596135,1.6795,46.6445,6.918909846,33.08841482,38.56207654,21.36307453,0.255181143,27.77284906,182.7897604,6.581599174,4.119624797,NA,1.5615,47.3425,5.436102313,33.82429984,33.78200677,26.80961777,0.170264282,30.31860391,278.0530329,9.171036824,3.481333534,0.206977,2.1135,46.4995,5.461662735,30.19085704,40.23149172,23.84214212,0.252265258,22.00118287,184.3277999,8.378085896,2.584179198
B1,F10,PR,0.161512099,2.576,46.44825,5.961855387,32.29036006,36.45287212,25.11104013,0.391590244,18.07971516,118.6761574,6.588544089,2.326564826,0.2192135,1.994,45.19,7.41670909,33.66847672,38.99178202,19.92299177,0.458394268,22.66298897,98.58325715,4.349967134,3.719513084,0.230178,2.036,46.4905,5.837423444,32.8281426,35.57071813,25.62281993,0.427596266,22.83423379,108.7252245,4.761500887,2.867103853,0.199266,2.8415,45.876,5.01584541,29.03548953,41.46444324,24.16194364,0.567747548,16.14499384,80.80351938,5.004865296,1.765210421
B1,F2,PR,0.146686502,2.1215,46.341,5.806884245,31.69000119,36.72267472,25.19982418,0.309449476,21.84494175,153.5860708,7.01854827,2.737685231,0.172206,1.8475,46.766,6.632872061,32.16253444,38.12303799,22.93044077,0.325566879,25.31312585,143.6448331,5.674717298,3.590187854,NA,1.631,46.401,3.673588103,37.50920241,33.10925674,25.54491588,0.224561031,28.44941754,206.6297959,7.263058923,2.252353221,0.1621165,2.5715,47.0375,5.102433331,30.29999956,41.0375871,23.17381102,0.347082668,18.291853,135.5224687,7.408897756,1.984224511
B1,F5,PR,0.156114048,2.764,46.665,5.83062328,33.07532881,35.98913541,24.78317556,0.373756715,16.90509169,125.5515958,7.416148775,2.121578022,0.1715705,2.09,46.823,6.925426357,35.36356589,34.93255814,22.56248062,0.428722435,22.40334928,109.2151849,4.874948987,3.313601128,NA,1.904,46.193,NA,33.106928,34.50417233,27.49854454,0.481038436,24.26102941,96.02766961,3.958103672,NA,0.2036235,2.9,44.16,4.442211055,31.71859296,40.60301508,22.79396985,0.516805812,15.22758621,85.44795545,5.611392002,1.531796916
B2,CT,PR,0.142671827,2.21975,47.34425,7.279243048,32.11261742,37.8990976,22.50381018,0.240723264,21.33772245,196.6685038,9.222197382,3.284013771,0.184612,1.877,46.7245,7.935981649,33.92808211,36.3699708,21.83372609,0.221829067,24.89318061,210.6329014,8.46147002,4.228013665,0.192224,1.809,46.694,6.113779091,34.81714075,32.89619505,26.22829701,0.189177607,25.81205086,246.8262536,9.562442557,3.379645711,0.1631035,2.173,45.659,4.223534286,30.90269808,41.09557175,23.46992154,0.241900886,21.01196503,188.7508589,8.983017946,1.943642101
B2,F10,PR,0.181821393,2.65975,46.38975,6.921159363,32.53997205,38.68323757,21.81837678,0.410319736,17.53894872,113.9378819,6.489635586,2.601341625,0.1861935,2.4925,45.99,5.477898833,33.8151751,36.17976654,24.29743191,0.441462709,18.45135406,104.1764096,5.6460035,2.197752792,NA,2.4855,45.559,3.934420917,34.46312333,33.69801357,27.30202513,0.58779263,18.3299135,77.50862749,4.228532093,1.582949474,0.1980835,2.627,45.2795,4.052646462,29.51291223,#DIV/0!,21.4613177,0.557327088,17.23620099,81.24403241,4.713569565,1.542689936
B2,F2,PR,0.173011068,2.20125,47.0665,6.520426468,31.0947186,38.72687,23.53094736,0.305522005,21.38543444,154.6817676,7.229024449,2.960225425,0.2076305,1.8555,46.409,7.313466939,32.99339523,38.94354892,20.92769513,0.262061452,25.01158717,177.0920509,7.080400363,3.941507378,0.2611935,1.791,46.6015,6.097315688,30.97825486,34.02609386,28.6377325,0.224454648,26.01982133,207.6210068,7.979340218,3.404419703,0.1353085,2.1905,46.141,4.45864638,28.28061251,41.75678871,25.21554001,0.257094076,21.06414061,179.4712687,8.520227436,2.035446875
B2,F5,PR,0.123300298,2.55875,46.5345,6.30829075,30.94909494,38.98135999,23.75695267,0.328828358,18.23248029,143.0937819,7.82534967,2.471529142,0.111007,1.8805,46.286,6.667322973,33.25873537,36.71896322,23.23707727,0.40181033,24.61366658,115.1936537,4.680068827,3.545505436,0.247332,2.321,46.8425,7.349936128,29.99708081,36.67285146,25.89691523,0.387439427,20.18203361,120.9027702,5.990613857,3.166710956,0.2591575,2.846,45.8425,3.524229309,29.28931294,43.26841263,23.65984804,0.416984551,16.10769501,109.9381257,6.825192907,1.238309666
B3,CT,PR,0.12757575,2.2995,47.2815,6.942504045,27.56557658,37.31525872,28.28881956,0.293869998,20.56793595,162.6553737,7.92490832,3.020082586,0.1182975,2.64,46.3,8.870452529,28.88050873,35.76308784,26.41393079,0.303301074,17.53787879,152.6535973,8.704222393,3.360019897,0.173833333,1.780333333,46.524,5.315537862,33.84946253,34.5110448,26.22921216,0.183403679,26.13218499,253.6699386,9.707184407,2.985698107,0.159276,3.321,45.8005,4.676978073,28.73256189,41.25009145,25.02397526,0.30662323,13.79117736,149.3706136,10.83088193,1.408304147
B3,F10,PR,0.167472,2.7705,46.39475,7.306109904,30.04375216,36.72410433,26.01897596,0.369018506,16.9276963,126.3010073,7.490780462,2.663055988,0.195482,3.24,46.569,NA,#DIV/0!,#DIV/0!,#DIV/0!,0.360952056,14.37314815,129.0171346,8.976261379,NA,0.191146,2.448,46.7585,NA,27.80125239,38.50231093,26.11921152,0.261149798,19.10069444,179.0485781,9.373930283,NA,0.160471,3.333,47.12,4.246515679,27.39547038,38.82839721,29.29006969,0.422698171,14.13741374,111.4743409,7.885058959,1.274082112
