contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,-0.4009643225998042,1.876364963100537,19,-0.2136920750946255,0.9964301366728568
CT - F5,2019,-1.6480434699999973,1.6615956358329997,19,-0.991843884552448,0.7557566669852634
CT - F10,2019,1.0382640683333362,1.6615956358329997,19,0.6248596505327412,0.9228085170346021
F2 - F5,2019,-1.2470791474001932,1.8763649631005368,19,-0.664625044660554,0.9090444745952149
F2 - F10,2019,1.4392283909331405,1.8763649631005366,19,0.767030092352042,0.8682332235181787
F5 - F10,2019,2.6863075383333337,1.661595635833,19,1.6167035350851893,0.39332986235726775
CT - F2,2020,1.5464165190668568,1.8763649631005372,19,0.82415550784509,0.842347042087548
CT - F5,2020,2.167052713333332,1.6615956358329995,19,1.3041998104712968,0.5715082647236795
CT - F10,2020,3.4654576516666675,1.6615956358329995,19,2.085620338024869,0.19347513481767975
F2 - F5,2020,0.6206361942664752,1.8763649631005372,19,0.33076517973397107,0.9871188015976506
F2 - F10,2020,1.9190411325998107,1.876364963100537,19,1.0227440665001306,0.7384296557570809
F5 - F10,2020,1.2984049383333354,1.6615956358329997,19,0.7814205275535718,0.8619114331080929
CT - F2,2021,0.6168676490668602,1.8763649631005372,19,0.3287567510573943,0.9873448602180488
CT - F5,2021,0.12713995000000033,1.661595635832999,19,0.07651678137458631,0.999833261353157
CT - F10,2021,-0.7719694616666659,1.6615956358329997,19,-0.464595263142743,0.9658805140770721
F2 - F5,2021,-0.48972769906685987,1.876364963100537,19,-0.2609981046851491,0.993558342203752
F2 - F10,2021,-1.388837110733526,1.876364963100537,19,-0.7401742934053662,0.8796564840377435
F5 - F10,2021,-0.8991094116666662,1.6615956358329995,19,-0.5411120445173294,0.9478040170117803
