treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,-7.083245849999987,13.292621976822627,2,-64.27678208410354,50.11029038410358
F2,2019,13.971590459756658,15.272759895597966,2,-51.74179159584604,79.68497251535935
F5,2019,-11.798897933333334,13.292621976822634,2,-68.99243416743693,45.39463830077026
F10,2019,-9.046081716666704,13.292621976822632,2,-66.2396179507703,48.147454517436884
CT,2020,70.40774281666671,13.292621976822636,2,13.214206582563108,127.60127905077032
F2,2020,60.72854980975668,15.272759895597964,2,-4.984832245846015,126.44193186535938
F5,2020,-8.701832629999954,13.292621976822634,2,-65.89536886410355,48.49170360410364
F10,2020,2.122461196666679,13.292621976822632,2,-55.07107503743691,59.31599743077027
CT,2021,-14.958908083333315,13.292621976822632,2,-72.1524443174369,42.23462815077028
F2,2021,11.100017159756675,15.272759895597968,2,-54.61336489584603,76.81339921535938
F5,2021,-31.29855955,13.292621976822634,2,-88.4920957841036,25.894976684103597
F10,2021,-28.464384603333357,13.292621976822634,2,-85.65792083743696,28.72915163077024
