contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,1,-0.36613488816640005,0.7255864563274291,19,-0.5046054608290229,0.9569910286859472
CT - F5,1,-0.1404166666666667,0.6479490520360202,19,-0.21670942526336281,0.9962788563244305
CT - F10,1,0.004833333333333251,0.6479490520360202,19,0.007459434222715031,0.9999998451265466
F2 - F5,1,0.22571822149973336,0.725586456327429,19,0.31108384056975213,0.9892259969701083
F2 - F10,1,0.3709682214997333,0.7255864563274289,19,0.5112667391524874,0.9553917552292845
F5 - F10,1,0.14524999999999993,0.6479490520360202,19,0.22416885948607784,0.9958870545044154
CT - F2,2,0.017281778500265854,0.7255864563274292,19,0.023817669623738474,0.9999949596506434
CT - F5,2,0.36708333333333326,0.6479490520360199,19,0.5665311681217289,0.940794630119779
CT - F10,2,-0.0510000000000004,0.6479490520360199,19,-0.078709892143133,0.9998185361995247
F2 - F5,2,0.3498015548330674,0.7255864563274294,19,0.48209493408076426,0.9621427905910247
F2 - F10,2,-0.06828177850026626,0.7255864563274291,19,-0.09410564089891629,0.999690223958551
F5 - F10,2,-0.41808333333333364,0.6479490520360199,19,-0.6452410602648618,0.9159042157641415
CT - F2,3,-0.937884888166401,0.7255864563274291,19,-1.2925887466443693,0.5784857963316565
CT - F5,3,0.5879166666666666,0.6479490520360198,19,0.9073501455388873,0.8011507803835973
CT - F10,3,-0.7406666666666665,0.64794905203602,19,-1.1430939891636607,0.6683217601048037
F2 - F5,3,1.5258015548330677,0.7255864563274291,19,2.1028528599554406,0.1879517116769348
F2 - F10,3,0.19721822149973456,0.725586456327429,19,0.2718052683865665,0.9927425478464815
F5 - F10,3,-1.328583333333333,0.6479490520360199,19,-2.050444134702548,0.20514101128720785
