treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,-0.48975,0.4624280122746246,2,-2.4794171493260313,1.499917149326031
F2,2019,-0.12361511183359997,0.566107231986732,2,-2.559377938872224,2.3121477152050245
F5,2019,-0.34933333333333333,0.4624280122746248,2,-2.3390004826593653,1.6403338159926988
F10,2019,-0.49458333333333326,0.46242801227462454,2,-2.4842504826593643,1.4950838159926976
CT,2020,-0.19258333333333344,0.46242801227462466,2,-2.1822504826593647,1.797083815992698
F2,2020,-0.2098651118335993,0.5661072319867321,2,-2.645627938872224,2.225897715205025
F5,2020,-0.5596666666666668,0.46242801227462454,2,-2.5493338159926977,1.4300004826593642
F10,2020,-0.14158333333333303,0.46242801227462443,2,-2.1312504826593637,1.8480838159926976
CT,2021,-1.0597499999999997,0.46242801227462454,2,-3.0494171493260307,0.9299171493260312
F2,2021,-0.12186511183359883,0.5661072319867321,2,-2.5576279388722236,2.3138977152050257
F5,2021,-1.6476666666666664,0.46242801227462477,2,-3.6373338159926982,0.34200048265936545
F10,2021,-0.3190833333333334,0.4624280122746246,2,-2.3087504826593648,1.6705838159926978
