contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,-1.119056971125039,0.5691388836062875,19,-1.9662282851494077,0.2352460094483343
CT - F5,2019,0.6765016630000023,0.5035721193353343,19,1.3434057149409264,0.5480371185663464
CT - F10,2019,-0.4016259716666666,0.5035721193353343,19,-0.7975540270116094,0.8546620594164361
F2 - F5,2019,1.7955586341250414,0.5691388836062874,19,3.1548690237920085,0.024610981116463537
F2 - F10,2019,0.7174309994583725,0.5691388836062873,19,1.2605552355032363,0.597773595521067
F5 - F10,2019,-1.0781276346666688,0.5035721193353344,19,-2.140959741952535,0.17617771953798222
CT - F2,2020,-0.7982403112917059,0.5691388836062873,19,-1.4025404594283597,0.5130257482587561
CT - F5,2020,2.2430188319999997,0.5035721193353343,19,4.454215684062422,0.0014242784514230111
CT - F10,2020,1.365587678666666,0.5035721193353342,19,2.711801599479153,0.061068160267382265
F2 - F5,2020,3.0412591432917058,0.5691388836062873,19,5.343615119074442,2.0084639513651137e-4
F2 - F10,2020,2.163827989958372,0.5691388836062872,19,3.8019331524978743,0.006058410507134737
F5 - F10,2020,-0.8774311533333339,0.5035721193353342,19,-1.7424140845832707,0.33047425949366716
CT - F2,2021,-1.2244960087917067,0.5691388836062873,19,-2.151488931897992,0.17302997947475718
CT - F5,2021,1.326994613666667,0.5035721193353342,19,2.6351629939683114,0.07100254939744022
CT - F10,2021,1.5361848209999998,0.5035721193353343,19,3.0505756018176955,0.03063255257544839
F2 - F5,2021,2.5514906224583735,0.5691388836062873,19,4.483072051396538,0.0013357947157938144
F2 - F10,2021,2.7606808297917063,0.5691388836062872,19,4.850627692662553,5.915161994425322e-4
F5 - F10,2021,0.2091902073333327,0.5035721193353343,19,0.41541260784938455,0.9751595693066536
