treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,1,-0.933868679333333,1.02392115394654,2,-5.339445827409633,3.4717084687429667
F2,1,0.18518829179170615,1.0577091844925746,2,-4.365767018146347,4.73614360172976
F5,1,-1.610370342333335,1.023921153946541,2,-6.015947490409639,2.795206805742968
F10,1,-0.5322427076666664,1.023921153946541,2,-4.93781985574297,3.873334440409637
CT,2,0.6305887209999995,1.023921153946541,2,-3.7749884270763037,5.036165869076303
F2,2,1.4288290322917054,1.0577091844925746,2,-3.1221262776463474,5.979784342229759
F5,2,-1.6124301110000006,1.023921153946541,2,-6.018007259076304,2.7931470370763027
F10,2,-0.7349989576666666,1.023921153946541,2,-5.14057610574297,3.670578190409637
CT,3,0.547696048999999,1.023921153946541,2,-3.8578810990763044,4.953273197076302
F2,3,1.7721920577917056,1.0577091844925746,2,-2.7787632521463475,6.323147367729758
F5,3,-0.779298564666668,1.023921153946541,2,-5.184875712742971,3.6262785834096354
F10,3,-0.9884887720000007,1.023921153946541,2,-5.394065920076304,3.4170883760763027
