treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,-0.14375000000000004,0.22482462815120088,2,-1.1110923000296724,0.8235923000296722
F2,2019,-0.1484526115582314,0.25036485788750623,2,-1.2256856507812461,0.9287804276647833
F5,2019,-0.3845833333333334,0.22482462815120108,2,-1.3519256333630065,0.5827589666963396
F10,2019,-0.0932499999999999,0.22482462815120105,2,-1.0605923000296729,0.874092300029673
CT,2020,-0.4923055556666667,0.22482462815120105,2,-1.4596478556963397,0.4750367443630062
F2,2020,-0.28895261155823154,0.25036485788750623,2,-1.3661856507812462,0.7882804276647832
F5,2020,-0.44625000000000004,0.22482462815120102,2,-1.4135923000296728,0.5210923000296728
F10,2020,-0.34558333333333346,0.22482462815120105,2,-1.3129256333630064,0.6217589666963395
CT,2021,0.3265833333333333,0.224824628151201,2,-0.6407589666963394,1.293925633363006
F2,2021,0.3810473884417685,0.25036485788750623,2,-0.6961856507812463,1.4582804276647832
F5,2021,0.3770833333333333,0.22482462815120102,2,-0.5902589666963395,1.3444256333630062
F10,2021,0.26508333333333345,0.22482462815120102,2,-0.7022589666963394,1.2324256333630061
