contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,1,0.04375151263627605,0.044384903668681176,19,0.9857295841592182,0.7591435308971326
CT - F5,1,-0.030005334000000033,0.03931796215948931,19,-0.7631457062369217,0.8699159088536363
CT - F10,1,-0.022661760000000024,0.039317962159489316,19,-0.5763716824405827,0.9379457401073638
F2 - F5,1,-0.07375684663627609,0.04438490366868117,19,-1.661755248740583,0.3700812667913622
F2 - F10,1,-0.06641327263627608,0.04438490366868117,19,-1.496303182992792,0.4589847919572986
F5 - F10,1,0.007343574000000009,0.039317962159489316,19,0.18677402379633887,0.9976052672984237
CT - F2,2,0.03390259980294274,0.044384903668681176,19,0.7638317761375486,0.8696194491471002
CT - F5,2,-0.10822623533333331,0.0393179621594893,19,-2.7525901493654383,0.056310739860579107
CT - F10,2,-0.10706021999999998,0.0393179621594893,19,-2.7229341023759353,0.05973473991909395
F2 - F5,2,-0.14212883513627605,0.04438490366868117,19,-3.2021886584957233,0.02226594129168591
F2 - F10,2,-0.14096281980294273,0.044384903668681176,19,-3.1759181197098947,0.023540228132347907
F5 - F10,2,0.001166015333333329,0.039317962159489295,19,0.02965604698950335,0.9999902715476714
CT - F2,3,0.042303336469609425,0.044384903668681176,19,0.9531019101762623,0.7769620119851831
CT - F5,3,-0.08626522666666667,0.0393179621594893,19,-2.1940411437586866,0.16076497888393826
CT - F10,3,-0.11149032133333334,0.03931796215948931,19,-2.835607829344873,0.04765694046024338
F2 - F5,3,-0.1285685631362761,0.044384903668681176,19,-2.8966732494453176,0.042092086512011795
F2 - F10,3,-0.15379365780294277,0.04438490366868117,19,-3.464999247288273,0.012667039724878926
F5 - F10,3,-0.02522509466666668,0.03931796215948931,19,-0.6415666855861871,0.9171723923770774
