contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,0.9198166145742868,1.9425667979029955,18,0.47350578397985105,0.9639576165681387
CT - F5,2019,0.7589736150000009,1.7190660293010538,18,0.4415034687810032,0.9704172449737041
CT - F10,2019,-0.1620045929257108,1.9425667979029975,18,-0.08339718000976588,0.9997837825338587
F2 - F5,2019,-0.16084299957428583,1.942566797902995,18,-0.08279921171715494,0.9997883909942087
F2 - F10,2019,-1.0818212074999976,2.1054173029699697,18,-0.513827451676181,0.9547117039490594
F5 - F10,2019,-0.9209782079257117,1.9425667979029961,18,-0.47410375227246193,0.9638295784987521
CT - F2,2020,-1.0236411154257101,1.942566797902996,18,-0.5269528525509303,0.9514317159483701
CT - F5,2020,0.5772787616666684,1.719066029301055,18,0.3358095336811354,0.9865170909111205
CT - F10,2020,-1.0402310033333326,1.7190660293010547,18,-0.6051140477461906,0.9291246682216607
F2 - F5,2020,1.6009198770923785,1.9425667979029952,18,0.8241260371692621,0.8423276285775283
F2 - F10,2020,-0.01658988790762239,1.9425667979029957,18,-0.008540189158762111,0.9999997671125326
F5 - F10,2020,-1.6175097650000008,1.7190660293010545,18,-0.940923581427326,0.7835408849597678
CT - F2,2021,-0.4373551137590448,1.942566797902996,18,-0.22514289559111705,0.9958261555449135
CT - F5,2021,0.7122994150000008,1.7190660293010547,18,0.4143525628795135,0.9753028644907096
CT - F10,2021,-1.9736851599999992,1.719066029301055,18,-1.1481148055740875,0.6656390932566266
F2 - F5,2021,1.1496545287590456,1.9425667979029961,18,0.5918223918992641,0.9332533890238528
F2 - F10,2021,-1.5363300462409544,1.9425667979029957,18,-0.7908763023744797,0.8576361586555707
F5 - F10,2021,-2.685984575,1.719066029301055,18,-1.5624673684536008,0.4234490130406672
