treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,-2.2271416066666663,1.6213307990395436,2,-9.203164994981035,4.748881781647702
F2,2019,-3.1469582212409533,1.856634404273607,2,-11.135411308935554,4.8414948664536475
F5,2019,-2.986115221666667,1.6213307990395442,2,-9.96213860998104,3.9899081666477043
F10,2019,-2.0651370137409555,1.856634404273608,2,-10.053590101435562,5.92331607395365
CT,2020,0.9916569033333347,1.621330799039545,2,-5.98436648498104,7.967680291647708
F2,2020,2.0152980187590446,1.8566344042736076,2,-5.973155068935559,10.003751106453649
F5,2020,0.41437814166666637,1.6213307990395442,2,-6.561645246647705,7.3904015299810375
F10,2020,2.0318879066666673,1.6213307990395447,2,-4.944135481647706,9.00791129498104
CT,2021,-1.3187057700000007,1.6213307990395445,2,-8.294729158314373,5.657317618314371
F2,2021,-0.8813506562409559,1.8566344042736074,2,-8.869803743935558,7.107102431453646
F5,2021,-2.0310051850000015,1.6213307990395445,2,-9.007028573314374,4.945018203314371
F10,2021,0.6549793899999985,1.6213307990395445,2,-6.321043998314374,7.631002778314371
