contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,-1.6667933982838732,1.261478790067475,17,-1.3213011676515927,0.5625816373139965
CT - F5,2019,0.8447570483333323,1.1171781554981404,17,0.7561524938309075,0.8727984701132807
CT - F10,2019,-0.8759917407838709,1.2614787900674744,17,-0.6944165432516035,0.897809302689977
F2 - F5,2019,2.5115504466172056,1.2614787900674747,17,1.99095733229321,0.22987893483272814
F2 - F10,2019,0.7908016575000023,1.3682582163770631,17,0.5779622939841891,0.9373397749335548
F5 - F10,2019,-1.720748789117203,1.2614787900674749,17,-1.3640727078932198,0.5372558068966976
CT - F2,2020,0.13019523671612965,1.2614787900674744,17,0.1032084231151962,0.9995899357864885
CT - F5,2020,-2.3674710916666664,1.1171781554981408,17,-2.1191526884188225,0.18679486269266465
CT - F10,2020,-2.4762742199999987,1.1171781554981408,17,-2.216543715801396,0.1585580588608303
F2 - F5,2020,-2.4976663283827962,1.2614787900674747,17,-1.9799511082141934,0.23390373161349287
F2 - F10,2020,-2.6064694567161286,1.2614787900674742,17,-2.0662015701244676,0.2037533134257542
F5 - F10,2020,-0.1088031283333325,1.1171781554981408,17,-0.0973910273825736,0.9996552640768881
CT - F2,2021,-0.570014601617205,1.2614787900674742,17,-0.45186221607952354,0.9683606756134695
CT - F5,2021,-1.0386080016666663,1.117178155498141,17,-0.9296708824418064,0.7895483821498074
CT - F10,2021,0.20013747180371388,1.2594159625881696,17,0.15891292293327797,0.9985127160117518
F2 - F5,2021,-0.4685934000494615,1.2614787900674747,17,-0.3714635582770259,0.9819147540794595
F2 - F10,2021,0.7701520734209188,1.40082961587047,17,0.5497828320415323,0.9453389807072563
F5 - F10,2021,1.2387454734703804,1.2594159625881702,17,0.9835872422362261,0.7605094481969148
