treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,-0.670701827,0.94888913,2,-4.753442231,3.412038577
F2,2019,0.996091572,1.115182625,2,-3.802151994,5.794335137
F5,2019,-1.515458875,0.94888913,2,-5.598199279,2.567281529
F10,2019,0.205289914,1.115182625,2,-4.592953652,5.00353348
CT,2020,-3.839331347,0.94888913,2,-7.922071751,0.243409057
F2,2020,-3.969526583,1.115182625,2,-8.767770149,0.828716982
F5,2020,-1.471860255,0.94888913,2,-5.554600659,2.610880149
F10,2020,-1.363057127,0.94888913,2,-5.445797531,2.719683277
CT,2021,3.28997142,0.94888913,2,-0.792768984,7.372711824
F2,2021,3.859986022,1.115182625,2,-0.938257544,8.658229587
F5,2021,4.328579422,0.94888913,2,0.245839018,8.411319826
F10,2021,3.089833948,1.112848649,2,-1.69836733,7.878035227
