treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,0.9104133183333324,0.41279314032249304,2,-0.8656922136970949,2.68651885036376
F2,2019,0.6595588131931035,0.4623283330986918,2,-1.3296794512545014,2.648797077640708
F5,2019,0.7954855849999994,0.4127931403224935,2,-0.9806199470304299,2.5715911170304286
F10,2019,0.23734623719310455,0.46232833309869165,2,-1.7518920272544996,2.2265845016407084
CT,2020,0.29008631599999957,0.41279314032249337,2,-1.4860192160304293,2.0661918480304284
F2,2020,-0.2779023413068949,0.4623283330986919,2,-2.2671406057545003,1.7113359231407104
F5,2020,0.17937731917039407,0.46096304303546903,2,-1.8039865762597855,2.162741214600574
F10,2020,-0.49626003730689616,0.46232833309869165,2,-2.4854983017545003,1.492978227140708
CT,2021,-1.0134309863333333,0.4127931403224934,2,-2.7895365183637626,0.7626745456970958
F2,2021,-1.0964531103068955,0.46232833309869176,2,-3.0856913747545,0.892785154140709
F5,2021,-1.1385297616666668,0.4127931403224935,2,-2.914635293697096,0.6375757703637626
F10,2021,-1.002993323333334,0.4127931403224935,2,-2.779098855363763,0.7731122086970954
