contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,0.6869584708769965,0.9815390887679405,16,0.6998788726175835,0.8956223011842157
CT - F5,2019,0.5133929316666671,0.8687275185159684,16,0.5909711856989255,0.9333556468576694
CT - F10,2019,1.490676027376996,0.9815390887679403,16,1.5187128504970095,0.4499220835128608
F2 - F5,2019,-0.17356553921032936,0.9815390887679404,16,-0.17682998180764706,0.9979512570111584
F2 - F10,2019,0.8037175564999994,1.0639695729391736,16,0.7553952452604088,0.873050429567469
F5 - F10,2019,0.9772830957103288,0.9815390887679405,16,0.9956639596870727,0.7539684062811036
CT - F2,2020,0.4880344893769947,0.9815390887679406,16,0.4972135037327869,0.9585470480914281
CT - F5,2020,-0.5845508292114104,0.9793342082905891,16,-0.596885949926873,0.9315379138394801
CT - F10,2020,0.7654162228769951,0.9815390887679407,16,0.7798122679329765,0.8624560995359413
F2 - F5,2020,-1.0725853185884051,1.0903978410145594,16,-0.9836641987390762,0.7605763029158076
F2 - F10,2020,0.2773817335000004,1.0639695729391738,16,0.2607045732837494,0.993540158288967
F5 - F10,2020,1.3499670520884055,1.0903978410145592,16,1.2380500046041274,0.6129042468055355
CT - F2,2021,-0.24146819462300506,0.9815390887679406,16,-0.2460097589451111,0.9945542341830604
CT - F5,2021,0.592064722333333,0.8687275185159684,16,0.6815309860849653,0.9026000717455576
CT - F10,2021,0.4671596569999994,0.868727518515968,16,0.537751650595851,0.9484913177028014
F2 - F5,2021,0.833532916956338,0.9815390887679407,16,0.8492101094034016,0.8302856638312147
F2 - F10,2021,0.7086278516230045,0.9815390887679405,16,0.7219558138153184,0.8869048944956384
F5 - F10,2021,-0.12490506533333356,0.8687275185159682,16,-0.14377933548911478,0.9988935026189543
