treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,1,1.2968435993333332,0.7202237113207757,2,-1.8020289182112905,4.395716116877956
F2,1,0.6098851284563367,0.8529089492443841,2,-3.0598858902377577,4.2796561471504315
F5,1,0.783450667666666,0.7202237113207761,2,-2.3154218498779597,3.882323185211292
F10,1,-0.19383242804366274,0.8529089492443841,2,-3.8636034467377574,3.475938590650432
CT,2,-0.9897979866666669,0.7202237113207759,2,-4.088670504211292,2.109074530877958
F2,2,-1.4778324760436616,0.8529089492443841,2,-5.147603494737757,2.191938542650433
F5,2,-0.4052471574552564,0.8503706159374955,2,-4.064096609417453,3.25360229450694
F10,2,-1.755214209543662,0.8529089492443843,2,-5.424985228237757,1.9145568091504335
CT,3,-1.824212710666667,0.7202237113207759,2,-4.923085228211292,1.274659806877958
F2,3,-1.582744516043662,0.8529089492443843,2,-5.252515534737757,2.0870265026504335
F5,3,-2.416277433,0.7202237113207762,2,-5.515149950544626,0.6825950845446265
F10,3,-2.2913723676666664,0.7202237113207759,2,-5.390244885211292,0.8075001498779586
