contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,0.09655617493886667,1.8167279674665793,18,0.0531483946237223,0.9999439350608994
CT - F5,2019,-1.901647549999998,1.6111507264309068,18,-1.1803039397888073,0.6464446057597478
CT - F10,2019,-0.04449874006113209,1.8167279674665802,18,-0.024493892788574945,0.9999945069069514
F2 - F5,2019,-1.9982037249388647,1.8167279674665784,18,-1.0998915416738775,0.6941095969687632
F2 - F10,2019,-0.14105491499999875,1.973248589235088,18,-0.07148360108782717,0.9998637281252354
F5 - F10,2019,1.857148809938866,1.8167279674665795,18,1.0222492542615795,0.7388390738376501
CT - F2,2020,0.6287581949388678,1.8167279674665786,18,0.34609374997164216,0.9852844841416935
CT - F5,2020,2.1252034500000008,1.6111507264309084,18,1.319059362439568,0.5632198174540479
CT - F10,2020,3.9006377816666653,1.6111507264309075,18,2.4210259894848765,0.10863532043245772
F2 - F5,2020,1.4964452550611331,1.8167279674665793,18,0.8237035383717468,0.8425264532746028
F2 - F10,2020,3.2718795867277977,1.816727967466579,18,1.8009738636271575,0.3050080820634534
F5 - F10,2020,1.7754343316666648,1.6111507264309082,18,1.1019666270453075,0.6928934184529679
CT - F2,2021,1.3605854249388678,1.8167279674665793,18,0.7489208342161426,0.8759312141843141
CT - F5,2021,-0.1574290433333314,1.6111507264309082,18,-0.09771217599366085,0.9996526312719983
CT - F10,2021,2.728591138333332,1.6111507264309082,18,1.6935666499544875,0.3555403593550538
F2 - F5,2021,-1.5180144682721992,1.816727967466579,18,-0.8355760991498717,0.836898333034343
F2 - F10,2021,1.3680057133944645,1.816727967466579,18,0.7530052588457389,0.8742021456534541
F5 - F10,2021,2.8860201816666637,1.611150726430908,18,1.7912788259481487,0.30936814693321446
