treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,1.775483314999998,1.286185145387565,2,-3.758524711765017,7.309491341765013
F2,2019,1.6789271400611314,1.5358925980393416,2,-4.929485339494835,8.287339619617097
F5,2019,3.677130864999996,1.2861851453875652,2,-1.85687716176502,9.211138891765012
F10,2019,1.81998205506113,1.5358925980393423,2,-4.788430424494839,8.4283945346171
CT,2020,3.9734491349999987,1.286185145387566,2,-1.56055889176502,9.507457161765018
F2,2020,3.344690940061131,1.5358925980393419,2,-3.263721539494836,9.953103419617097
F5,2020,1.848245684999998,1.2861851453875666,2,-3.6857623417650234,7.382253711765019
F10,2020,0.07281135333333322,1.2861851453875661,2,-5.461196673431687,5.606819380098353
CT,2021,-0.248146235000001,1.286185145387566,2,-5.78215426176502,5.285861791765018
F2,2021,-1.6087316599388688,1.5358925980393423,2,-8.217144139494838,4.999680819617101
F5,2021,-0.09071719166666958,1.286185145387566,2,-5.6247252184316885,5.443290835098349
F10,2021,-2.976737373333333,1.286185145387566,2,-8.510745400098351,2.5572706534316856
